municipality,country,nielsen
Chastre,Belgium,Nielsen IV
Châtelet,Belgium,Nielsen IV
Chaudfontaine,Belgium,Nielsen V
Chaumont-Gistoux,Belgium,Nielsen IV
Chièvres,Belgium,Nielsen IV
Chimay,Belgium,Nielsen IV
Chiny,Belgium,Nielsen V
Ciney,Belgium,Nielsen V
Clavier,Belgium,Nielsen V
Coevorden,Netherlands,Nielsen III
Colfontaine,Belgium,Nielsen IV
Comblain-au-Pont,Belgium,Nielsen V
Comines-Warneton,Belgium,Nielsen IV
Courcelles,Belgium,Nielsen IV
Court-Saint-Étienne,Belgium,Nielsen IV
Couvin,Belgium,Nielsen V
Cranendonck,Netherlands,Nielsen V
Crisnée,Belgium,Nielsen V
Cuijk,Netherlands,Nielsen V
Culemborg,Netherlands,Nielsen IV
Dalfsen,Netherlands,Nielsen IV
Dalhem,Belgium,Nielsen V
Damme,Belgium,Nielsen I
Dantumadeel,Netherlands,Nielsen III
Daverdisse,Belgium,Nielsen V
De Bilt,Netherlands,Nielsen II
Bilthoven,Netherlands,Nielsen II
Deerlijk,Belgium,Nielsen I
De Friese Meren,Netherlands,Nielsen III
De Haan,Belgium,Nielsen I
Deinze[1],Belgium,Nielsen I
Deinze,Belgium,Nielsen I
Delft,Netherlands,Nielsen II
Delfzijl,Netherlands,Nielsen III
Den Bosch,Netherlands,Nielsen V
Denderleeuw,Belgium,Nielsen I
Dendermonde,Belgium,Nielsen I
Den Haag,Netherlands,Nielsen I
"'s-Gravenhage",Netherlands,Nielsen I
Den Helder,Netherlands,Nielsen II
Dentergem,Belgium,Nielsen I
De Panne,Belgium,Nielsen I
De Pinte,Belgium,Nielsen I
De Ronde Venen,Netherlands,Nielsen II
Dessel,Belgium,Nielsen II
Destelbergen,Belgium,Nielsen I
Deurne,Netherlands,Nielsen V
Deventer,Netherlands,Nielsen IV
De Wolden,Netherlands,Nielsen III
Diemen,Netherlands,Nielsen I
Diepenbeek,Belgium,Nielsen II
Diest,Belgium,Nielsen II
Diksmuide,Belgium,Nielsen I
Dilbeek,Belgium,Nielsen II
Dilsen-Stokkem,Belgium,Nielsen II
Dinant,Belgium,Nielsen V
Dinkelland,Netherlands,Nielsen IV
Dison,Belgium,Nielsen V
Doesburg,Netherlands,Nielsen IV
Doetinchem,Netherlands,Nielsen IV
Doische,Belgium,Nielsen V
Donceel,Belgium,Nielsen V
Dongen,Netherlands,Nielsen V
Doornik,Belgium,Nielsen IV
Dordrecht,Netherlands,Nielsen II
Dour,Belgium,Nielsen IV
Drachten,Netherlands,Nielsen III
Drechterland,Netherlands,Nielsen II
Drenthe,Netherlands,Nielsen III
Drimmelen,Netherlands,Nielsen V
Drogenbos,Belgium,Nielsen II
Dronten,Netherlands,Nielsen IV
Druten,Netherlands,Nielsen IV
Duffel,Belgium,Nielsen II
Duiven,Netherlands,Nielsen IV
Durbuy,Belgium,Nielsen V
Écaussinnes,Belgium,Nielsen IV
Echt-Susteren,Netherlands,Nielsen V
Edam-Volendam,Netherlands,Nielsen II
Edegem,Belgium,Nielsen II
Ede,Netherlands,Nielsen IV
Edingen,Belgium,Nielsen IV
Eeklo,Belgium,Nielsen I
Eemnes,Netherlands,Nielsen II
Eersel,Netherlands,Nielsen V
Éghezée,Belgium,Nielsen V
Eigenbrakel,Belgium,Nielsen IV
Eijsden-Margraten,Netherlands,Nielsen V
Eindhoven,Netherlands,Nielsen V
Elburg,Netherlands,Nielsen IV
Ellezelles,Belgium,Nielsen IV
Elsene,Belgium,Nielsen III
Elzele,Belgium,Nielsen IV
Emmeloord,Netherlands,Nielsen IV
Emmen,Netherlands,Nielsen III
Enghien,Belgium,Nielsen IV
Engis,Belgium,Nielsen V
Enkhuizen,Netherlands,Nielsen II
Enschede,Netherlands,Nielsen IV
Epe,Netherlands,Nielsen IV
Érezée,Belgium,Nielsen V
Ermelo,Netherlands,Nielsen IV
Erpe-Mere,Belgium,Nielsen I
Erquelinnes,Belgium,Nielsen IV
Esneux,Belgium,Nielsen V
Essen,Belgium,Nielsen II
Estaimpuis,Belgium,Nielsen IV
Estinnes,Belgium,Nielsen IV
Étalle,Belgium,Nielsen V
Etten-Leur,Netherlands,Nielsen V
Etterbeek,Belgium,Nielsen III
Eupen,Belgium,Nielsen V
Evere,Belgium,Nielsen III
Evergem,Belgium,Nielsen I
Faimes,Belgium,Nielsen V
Farciennes,Belgium,Nielsen IV
Fauvillers,Belgium,Nielsen V
Fernelmont,Belgium,Nielsen V
Ferrières,Belgium,Nielsen V
Fexhe-le-Haut-Clocher,Belgium,Nielsen V
Flémalle,Belgium,Nielsen V
Fléron,Belgium,Nielsen V
Fleurus,Belgium,Nielsen IV
Flobecq,Belgium,Nielsen IV
Floreffe,Belgium,Nielsen V
Florennes,Belgium,Nielsen V
Florenville,Belgium,Nielsen V
Fontaine-l'Évêque,Belgium,Nielsen IV
Fosses-la-Ville,Belgium,Nielsen V
Frameries,Belgium,Nielsen IV
Frasnes-lez-Anvaing,Belgium,Nielsen IV
Froidchapelle,Belgium,Nielsen IV
Galmaarden,Belgium,Nielsen II
Ganshoren,Belgium,Nielsen III
Gavere,Belgium,Nielsen I
Gedinne,Belgium,Nielsen V
Geel,Belgium,Nielsen II
Geer,Belgium,Nielsen V
Geertruidenberg,Netherlands,Nielsen V
Geetbets,Belgium,Nielsen II
Geldenaken,Belgium,Nielsen IV
Geldermalsen,Netherlands,Nielsen IV
Geldrop-Mierlo,Netherlands,Nielsen V
Geldrop,Netherlands,Nielsen V
Geleen,Netherlands,Nielsen V
Gembloers,Belgium,Nielsen V
Gembloux,Belgium,Nielsen V
Gemert-Bakel,Netherlands,Nielsen V
Genappe,Belgium,Nielsen IV
Genepiën,Belgium,Nielsen IV
Genk,Belgium,Nielsen II
Gennep,Netherlands,Nielsen V
Gent,Belgium,Nielsen I
Geraardsbergen,Belgium,Nielsen I
Gerpinnes,Belgium,Nielsen IV
Gesves,Belgium,Nielsen V
Ghent,Belgium,Nielsen I
Gilze en Rijen,Netherlands,Nielsen V
Gingelom,Belgium,Nielsen II
Gistel,Belgium,Nielsen I
Glabbeek,Belgium,Nielsen II
Goeree-Overflakkee,Netherlands,Nielsen II
Goes,Netherlands,Nielsen V
Goirle,Netherlands,Nielsen V
Gooik,Belgium,Nielsen II
Gooise Meren,Netherlands,Nielsen II
Gorinchem,Netherlands,Nielsen II
Gouda,Netherlands,Nielsen II
Gouvy,Belgium,Nielsen V
Grâce-Hollogne,Belgium,Nielsen V
Graven,Belgium,Nielsen IV
Grave,Netherlands,Nielsen V
Grez-Doiceau,Belgium,Nielsen IV
Grimbergen,Belgium,Nielsen II
Grobbendonk,Belgium,Nielsen II
Groesbeek,Netherlands,Nielsen IV
Groningen,Netherlands,Nielsen III
Gulpen-Wittem,Netherlands,Nielsen V
Haacht,Belgium,Nielsen II
Haaksbergen,Netherlands,Nielsen IV
Haaltert,Belgium,Nielsen I
Haaren,Netherlands,Nielsen V
Haarlemmermeer,Netherlands,Nielsen II
Haarlem,Netherlands,Nielsen II
Habay,Belgium,Nielsen V
Halderberge,Netherlands,Nielsen V
Halen,Belgium,Nielsen II
Halle,Belgium,Nielsen II
Ham,Belgium,Nielsen II
Hamme,Belgium,Nielsen I
Hamoir,Belgium,Nielsen V
Hamois,Belgium,Nielsen V
Hamont-Achel,Belgium,Nielsen II
Ham-sur-Heure-Nalinnes,Belgium,Nielsen IV
Hannuit,Belgium,Nielsen V
Hannut,Belgium,Nielsen V
Hardenberg,Netherlands,Nielsen IV
Harderwijk,Netherlands,Nielsen IV
Hardinxveld-Giessendam,Netherlands,Nielsen II
Harelbeke,Belgium,Nielsen I
Haren,Netherlands,Nielsen III
Harlingen,Netherlands,Nielsen III
Hasselt,Belgium,Nielsen II
Hastière,Belgium,Nielsen V
Hattem,Netherlands,Nielsen IV
Havelange,Belgium,Nielsen V
Hechtel-Eksel,Belgium,Nielsen II
Heemskerk,Netherlands,Nielsen II
Heemstede,Netherlands,Nielsen II
Heerde,Netherlands,Nielsen IV
Heerenveen,Netherlands,Nielsen III
Heerhugowaard,Netherlands,Nielsen II
Heerlen,Netherlands,Nielsen V
Heers,Belgium,Nielsen II
Heeze-Leende,Netherlands,Nielsen V
Heiloo,Netherlands,Nielsen II
Heist-op-den-Berg,Belgium,Nielsen II
Hélécine,Belgium,Nielsen IV
Hellendoorn,Netherlands,Nielsen IV
Hellevoetsluis,Netherlands,Nielsen II
Helmond,Netherlands,Nielsen V
Hemiksem,Belgium,Nielsen II
Hendrik-Ido-Ambacht,Netherlands,Nielsen II
Hengelo,Netherlands,Nielsen IV
Hensies,Belgium,Nielsen IV
Herbeumont,Belgium,Nielsen V
Herentals,Belgium,Nielsen II
Herent,Belgium,Nielsen II
Herenthout,Belgium,Nielsen II
Herk-de-Stad,Belgium,Nielsen II
Herne,Belgium,Nielsen II
Héron,Belgium,Nielsen V
Herselt,Belgium,Nielsen II
Herstal,Belgium,Nielsen V
Herstappe,Belgium,Nielsen II
Herve,Belgium,Nielsen V
Herzele,Belgium,Nielsen I
Het Hogeland,Netherlands,Nielsen III
Heumen,Netherlands,Nielsen IV
Heusden,Netherlands,Nielsen V
Heusden-Zolder,Belgium,Nielsen II
Heuvelland,Belgium,Nielsen I
Hillegom,Netherlands,Nielsen II
Hilvarenbeek,Netherlands,Nielsen V
Hilversum,Netherlands,Nielsen II
Hoegaarden,Belgium,Nielsen II
Hoei,Belgium,Nielsen V
Hoeilaart,Belgium,Nielsen II
Hoeksche Waard,Netherlands,Nielsen II
Hoeselt,Belgium,Nielsen II
Hof van Twente,Netherlands,Nielsen IV
Hollands Kroon,Netherlands,Nielsen II
Holsbeek,Belgium,Nielsen II
Honnelles,Belgium,Nielsen IV
Hoofddorp,Netherlands,Nielsen II
Hoogeveen,Netherlands,Nielsen III
Hoogezand-Sappemeer,Netherlands,Nielsen III
Hooglede,Belgium,Nielsen I
Hoogstraten,Belgium,Nielsen II
Hoorn,Netherlands,Nielsen II
Horebeke,Belgium,Nielsen I
Horst aan de Maas,Netherlands,Nielsen V
Hotton,Belgium,Nielsen V
Houffalize,Belgium,Nielsen V
Houten,Netherlands,Nielsen II
Houthalen-Helchteren,Belgium,Nielsen II
Houthulst,Belgium,Nielsen I
Houyet,Belgium,Nielsen V
Hove,Belgium,Nielsen II
Huizen,Netherlands,Nielsen II
Huldenberg,Belgium,Nielsen II
Hulshout,Belgium,Nielsen II
Hulst,Netherlands,Nielsen V
Huy,Belgium,Nielsen V
Ichtegem,Belgium,Nielsen I
Ieper,Belgium,Nielsen I
IJsselstein,Netherlands,Nielsen II
Incourt,Belgium,Nielsen IV
Ingelmunster,Belgium,Nielsen I
Itter,Belgium,Nielsen IV
Ittre,Belgium,Nielsen IV
Izegem,Belgium,Nielsen I
Jabbeke,Belgium,Nielsen I
Jalhay,Belgium,Nielsen V
Jemeppe-sur-Sambre,Belgium,Nielsen V
Jette,Belgium,Nielsen III
Jodoigne,Belgium,Nielsen IV
Juprelle,Belgium,Nielsen V
Jurbeke,Belgium,Nielsen IV
Jurbise,Belgium,Nielsen IV
Kaag en Braassem,Netherlands,Nielsen II
Kalmthout,Belgium,Nielsen II
Kampenhout,Belgium,Nielsen II
Kampen,Netherlands,Nielsen IV
Kapellen,Belgium,Nielsen II
Kapelle,Netherlands,Nielsen V
Kapelle-op-den-Bos,Belgium,Nielsen II
Kaprijke,Belgium,Nielsen I
Kasteelbrakel,Belgium,Nielsen IV
Kasterlee,Belgium,Nielsen II
Katwijk,Netherlands,Nielsen II
Keerbergen,Belgium,Nielsen II
Kelmis,Belgium,Nielsen V
Kerkrade,Netherlands,Nielsen V
Kinrooi,Belgium,Nielsen II
Kluisbergen,Belgium,Nielsen I
Knokke-Heist,Belgium,Nielsen I
Koekelare,Belgium,Nielsen I
Koekelberg,Belgium,Nielsen III
Koggenland,Netherlands,Nielsen II
Koksijde,Belgium,Nielsen I
Komen-Waasten,Belgium,Nielsen IV
Kontich,Belgium,Nielsen II
Kortemark,Belgium,Nielsen I
Kortenaken,Belgium,Nielsen II
Kortenberg,Belgium,Nielsen II
Kortessem,Belgium,Nielsen II
Kortrijk,Belgium,Nielsen I
Kraainem,Belgium,Nielsen II
Krimpen aan den IJssel,Netherlands,Nielsen I
Krimpenerwaard,Netherlands,Nielsen II
Kruibeke,Belgium,Nielsen I
Kruisem,Belgium,Nielsen I
Kuurne,Belgium,Nielsen I
Laakdal,Belgium,Nielsen II
Laarbeek,Netherlands,Nielsen V
Laarne,Belgium,Nielsen I
La,Belgium,Nielsen V
La Bruyère,Belgium,Nielsen V
La Hulpe,Belgium,Nielsen IV
La Louvière,Belgium,Nielsen IV
Lanaken,Belgium,Nielsen II
Landen,Belgium,Nielsen II
Landerd,Netherlands,Nielsen V
Landgraaf,Netherlands,Nielsen V
Landsmeer,Netherlands,Nielsen I
Langedijk,Netherlands,Nielsen II
Langemark-Poelkapelle,Belgium,Nielsen I
Lansingerland,Netherlands,Nielsen II
Laren,Netherlands,Nielsen II
Lasne,Belgium,Nielsen IV
Lebbeke,Belgium,Nielsen I
Lede,Belgium,Nielsen I
Ledegem,Belgium,Nielsen I
Leek,Netherlands,Nielsen III
Leerdam,Netherlands,Nielsen II
Leeuwarden,Netherlands,Nielsen III
Léglise,Belgium,Nielsen V
Leiden,Netherlands,Nielsen II
Leiderdorp,Netherlands,Nielsen II
Leidschendam-Voorburg,Netherlands,Nielsen I
Leidschendam,Netherlands,Nielsen I
Lekkerkerk,Netherlands,Nielsen II
Lelystad,Netherlands,Nielsen IV
Lendelede,Belgium,Nielsen I
Lennik,Belgium,Nielsen II
Lens,Belgium,Nielsen IV
Leopoldsburg,Belgium,Nielsen II
Le Rœulx,Belgium,Nielsen IV
Les Bons Villers,Belgium,Nielsen IV
Lessen,Belgium,Nielsen IV
Lessines,Belgium,Nielsen IV
Leudal,Netherlands,Nielsen V
Leusden,Netherlands,Nielsen II
Leuven,Belgium,Nielsen II
Leuze-en-Hainaut,Belgium,Nielsen IV
Leyden,Netherlands,Nielsen II
Libin,Belgium,Nielsen V
Libramont-Chevigny,Belgium,Nielsen V
Lichtervelde,Belgium,Nielsen I
Liedekerke,Belgium,Nielsen II
Liège,Belgium,Nielsen V
Lier,Belgium,Nielsen II
Lierde,Belgium,Nielsen I
Lierneux,Belgium,Nielsen V
Lievegem,Belgium,Nielsen I
Lijsem,Belgium,Nielsen V
Lille,Belgium,Nielsen II
Limbourg,Belgium,Nielsen V
Limburg,Belgium,Nielsen V
Lincent,Belgium,Nielsen V
Lingewaard,Netherlands,Nielsen IV
Linkebeek,Belgium,Nielsen II
Lint,Belgium,Nielsen II
Linter,Belgium,Nielsen II
Lisse,Netherlands,Nielsen II
Lobbes,Belgium,Nielsen IV
Lochem,Netherlands,Nielsen IV
Lochristi,Belgium,Nielsen I
Lokeren,Belgium,Nielsen I
Lommel,Belgium,Nielsen II
Londerzeel,Belgium,Nielsen II
Lontzen,Belgium,Nielsen V
Loon op Zand,Netherlands,Nielsen V
Lopik,Netherlands,Nielsen II
Loppersum,Netherlands,Nielsen III
Lo-Reninge,Belgium,Nielsen I
Losser,Netherlands,Nielsen IV
Louvain,Belgium,Nielsen II
Lubbeek,Belgium,Nielsen II
Luik,Belgium,Nielsen V
Lummen,Belgium,Nielsen II
Maarkedal,Belgium,Nielsen I
Maasdriel,Netherlands,Nielsen IV
Maaseik,Belgium,Nielsen II
Maasgouw,Netherlands,Nielsen V
Maasmechelen,Belgium,Nielsen II
Maassluis,Netherlands,Nielsen II
Maastricht,Netherlands,Nielsen V
Machelen,Belgium,Nielsen II
Maldegem,Belgium,Nielsen I
Malle,Belgium,Nielsen II
Malmedy,Belgium,Nielsen V
Manage,Belgium,Nielsen IV
Manhay,Belgium,Nielsen V
Marche-en-Famenne,Belgium,Nielsen V
Marchin,Belgium,Nielsen V
Martelange,Belgium,Nielsen V
Mechelen,Belgium,Nielsen II
Medemblik,Netherlands,Nielsen II
Meerhout,Belgium,Nielsen II
Meerssen,Netherlands,Nielsen V
Meierijstad,Netherlands,Nielsen V
Meise,Belgium,Nielsen II
Meix-devant-Virton,Belgium,Nielsen V
Melle,Belgium,Nielsen I
Menen,Belgium,Nielsen I
Meppel,Netherlands,Nielsen III
Merbes-le-Château,Belgium,Nielsen IV
Merchtem,Belgium,Nielsen II
Merelbeke,Belgium,Nielsen I
Merksplas,Belgium,Nielsen II
Mesen,Belgium,Nielsen I
Messancy,Belgium,Nielsen V
Mettet,Belgium,Nielsen V
Meulebeke,Belgium,Nielsen I
Middelburg,Netherlands,Nielsen V
Middelkerke,Belgium,Nielsen I
Midden-Delfland,Netherlands,Nielsen II
Midden-Drenthe,Netherlands,Nielsen III
Midden-Groningen,Netherlands,Nielsen III
Mill en Sint Hubert,Netherlands,Nielsen V
Modave,Belgium,Nielsen V
Moerbeke,Belgium,Nielsen I
Moerdijk,Netherlands,Nielsen V
Moeskroen,Belgium,Nielsen IV
Mol,Belgium,Nielsen II
Molenbeek-Saint-Jean,Belgium,Nielsen III
Molenlanden,Netherlands,Nielsen II
Momignies,Belgium,Nielsen IV
Mons,Belgium,Nielsen IV
Mont-de-l'Enclus,Belgium,Nielsen IV
Montferland,Netherlands,Nielsen IV
Montfoort,Netherlands,Nielsen II
Montigny-le-Tilleul,Belgium,Nielsen IV
Mont-Saint-Guibert,Belgium,Nielsen IV
Mook en Middelaar,Netherlands,Nielsen V
Moorslede,Belgium,Nielsen I
Morlanwelz,Belgium,Nielsen IV
Mortsel,Belgium,Nielsen II
Mouscron,Belgium,Nielsen IV
Musson,Belgium,Nielsen V
Naarden,Netherlands,Nielsen II
Namen,Belgium,Nielsen V
Namur,Belgium,Nielsen V
Nandrin,Belgium,Nielsen V
Nassogne,Belgium,Nielsen V
Nazareth,Belgium,Nielsen I
Neder-Betuwe,Netherlands,Nielsen IV
Nederlek,Netherlands,Nielsen I
Nederweert,Netherlands,Nielsen V
Neufchâteau,Belgium,Nielsen V
Neupré,Belgium,Nielsen V
Niel,Belgium,Nielsen II
Nieuwegein,Netherlands,Nielsen II
Nieuwerkerken,Belgium,Nielsen II
Nieuwkoop,Netherlands,Nielsen II
Nieuw-Lekkerland,Netherlands,Nielsen II
Nieuwpoort,Belgium,Nielsen I
Nijkerk,Netherlands,Nielsen IV
Nijlen,Belgium,Nielsen II
Nijmegen,Netherlands,Nielsen IV
Nijvel,Belgium,Nielsen IV
Ninove,Belgium,Nielsen I
Nissewaard,Netherlands,Nielsen II
Nivelles,Belgium,Nielsen IV
Noardeast-Fryslân,Netherlands,Nielsen III
Noord-Beveland,Netherlands,Nielsen V
Noordenveld,Netherlands,Nielsen III
Noordoostpolder,Netherlands,Nielsen IV
Noordwijkerhout,Netherlands,Nielsen II
Noordwijk,Netherlands,Nielsen II
Nootdorp,Netherlands,Nielsen II
"Nuenen, Gerwen en Nederwetten",Netherlands,Nielsen V
Nunspeet,Netherlands,Nielsen IV
Oegstgeest,Netherlands,Nielsen II
Oerle,Belgium,Nielsen V
Ohey,Belgium,Nielsen V
Oirschot,Netherlands,Nielsen V
Oisterwijk,Netherlands,Nielsen V
Oldambt,Netherlands,Nielsen III
Oldebroek,Netherlands,Nielsen IV
Oldenzaal,Netherlands,Nielsen IV
Olen,Belgium,Nielsen II
Olne,Belgium,Nielsen V
Olst-Wijhe,Netherlands,Nielsen IV
Ommen,Netherlands,Nielsen IV
Onhaye,Belgium,Nielsen V
Oostende,Belgium,Nielsen I
Oosterhout,Netherlands,Nielsen V
Oosterzele,Belgium,Nielsen I
Oost Gelre,Netherlands,Nielsen IV
Lichtenvoorde,Netherlands,Nielsen IV
Oostkamp,Belgium,Nielsen I
Oostrozebeke,Belgium,Nielsen I
Ooststellingwerf,Netherlands,Nielsen III
Oostzaan,Netherlands,Nielsen II
Opmeer,Netherlands,Nielsen II
Opsterland,Netherlands,Nielsen III
Opwijk,Belgium,Nielsen II
Opzullik,Belgium,Nielsen IV
Oreye,Belgium,Nielsen V
Orp-Jauche,Belgium,Nielsen IV
Oss,Netherlands,Nielsen V
Ostend,Belgium,Nielsen I
Ottignies-Louvain-la-Neuve,Belgium,Nielsen IV
Oud-Beijerland,Netherlands,Nielsen II
Oude IJsselstreek,Netherlands,Nielsen IV
Oudenaarde,Belgium,Nielsen I
Oudenburg,Belgium,Nielsen I
Ouder-Amstel,Netherlands,Nielsen I
Oudergem,Belgium,Nielsen III
Oudewater,Netherlands,Nielsen II
Oud-Heverlee,Belgium,Nielsen II
Oudsbergen,Belgium,Nielsen II
Oud-Turnhout,Belgium,Nielsen II
Ouffet,Belgium,Nielsen V
Oupeye,Belgium,Nielsen V
Overbetuwe,Netherlands,Nielsen IV
Overijse,Belgium,Nielsen II
Paliseul,Belgium,Nielsen V
Papendrecht,Netherlands,Nielsen II
Pecq,Belgium,Nielsen IV
Peel en Maas,Netherlands,Nielsen V
Peer,Belgium,Nielsen II
Pekela,Netherlands,Nielsen III
Pelt,Belgium,Nielsen II
Pepingen,Belgium,Nielsen II
Pepinster,Belgium,Nielsen V
Péruwelz,Belgium,Nielsen IV
Perwez,Belgium,Nielsen IV
Perwijs,Belgium,Nielsen IV
Philippeville,Belgium,Nielsen V
